# angle target_eps final_f eps_diff_val result
-0.0038664988 0.01 0 0.00273403 Success
-0.0052338144 0.01 0 0.00370086 Success
-0.0101476913 0.1 0 0.00717549 Success
-0.0308491011 0.1 0 0.0218134 Success
-0.0379955099 0.1 0 0.0268665 Success
-0.0411279577 0.01 3 0.00679278 Success
-0.0422292342 0.01 3 0.00674162 Success
-0.0472163868 0.1 0 0.0333863 Success
-0.0548915653 1 0 0.038813 Success
-0.0762972075 0.01 3 0.00693148 Success
-0.0913173330 0.1 2 0.0690908 Success
-0.0925695326 0.1 2 0.0681801 Success
-0.0937167404 0.1 2 0.0688312 Success
-0.0994307094 1 0 0.0703009 Success
-0.1018324346 0.1 2 0.0682587 Success
-0.1085782318 0.1 2 0.0681476 Success
-0.1092554950 0.01 3 0.00685826 Success
-0.1392610598 0.01 3 0.00687272 Success
-0.1485919603 0.1 2 0.070064 Success
-0.1520549393 0.01 3 0.00687807 Success
-0.1601280864 0.01 3 0.00686677 Success
-0.1657791438 0.01 3 0.00694363 Success
-0.1776527846 0.01 3 0.00690536 Success
-0.1863272347 1 0 0.131706 Success
-0.1879697207 1 0 0.132866 Success
-0.2011182401 0.01 3 0.00687359 Success
-0.2065825663 0.1 2 0.0687337 Success
-0.2079719667 0.01 3 0.00691158 Success
-0.2183568675 1 0 0.154325 Success
-0.2529614647 0.01 3 0.00681874 Success
-0.2841758706 0.01 3 0.00679449 Success
-0.2903090714 0.1 2 0.0697694 Success
-0.3094491272 1 0 0.218595 Success
-0.3177951470 1 0 0.224479 Success
-0.3238514892 1 0 0.228747 Success
-0.3296557602 1 0 0.232838 Success
-0.3599917910 0.01 3 0.00702163 Success
-0.3946514009 1 0 0.214387 Success
-0.3988037265 0.1 2 0.0686781 Success
-0.4052136022 1 0 0.206939 Success
-0.4104690100 0.1 2 0.06944 Success
-0.4178195030 0.01 3 0.00698603 Success
-0.4446632207 1 0 0.179109 Success
-0.4494685834 1 0 0.175718 Success
-0.4510007542 0.1 2 0.0686698 Success
-0.4626069908 1 0 0.166445 Success
-0.4762259538 1 0 0.156831 Success
-0.4773706890 0.1 2 0.0699194 Success
-0.4782016892 0.01 3 0.00689265 Success
-0.4786831189 1 0 0.155096 Success
-0.4903700191 1 0 0.146844 Success
-0.4944354248 1 0 0.143973 Success
-0.4980358388 0.01 3 0.0067699 Success
-0.5086156355 0.01 3 0.00686052 Success
-0.5234454670 0.1 2 0.0676847 Success
-0.5250688317 0.01 3 0.00667656 Success
-0.5292954112 1 0 0.11935 Success
-0.5397297382 0.01 3 0.00675032 Success
-0.5615297090 0.1 2 0.0674752 Success
-0.5626539125 0.01 2 0.00675962 Success
-0.5765597874 0.1 2 0.0673466 Success
-0.6104753433 0.1 2 0.0683827 Success
-0.6129733626 1 0 0.0602115 Success
-0.6141595479 0.01 3 0.00695038 Success
-0.6171252767 0.01 3 0.00704147 Success
-0.6217919586 0.1 2 0.069085 Success
-0.6244342855 0.1 2 0.0690839 Success
-0.6338493807 0.1 0 0.0454525 Success
-0.6480154369 1 0 0.0354366 Success
-0.6511295585 0.1 0 0.0332348 Success
-0.6574068381 0.01 3 0.00694416 Success
-0.6659230206 1 0 0.0227747 Success
-0.6697671701 1 0 0.0200566 Success
-0.6772274479 0.1 0 0.0147815 Success
-0.7069100866 1 0 0.00620725 Success
-0.7228964915 1 0 0.0175112 Success
-0.7260808344 1 0 0.0197629 Success
-0.7440096799 0.1 0 0.0324399 Success
-0.7614711102 1 0 0.0447859 Success
-0.7618022258 0.01 3 0.00678922 Success
-0.7702237869 0.01 3 0.0069857 Success
-0.7814895503 1 0 0.0589386 Success
-0.7878618601 0.1 2 0.0692847 Success
# error - missing: eps_diff_val, result | angle=-0.7904377912 target_eps=0.01 final_f=3 eps_diff_val=None result=None
-0.8483668075 1 0 0.106207 Success
-0.8495611560 1 0 0.107051 Success
-0.8713531411 0.1 2 0.0676361 Success
-0.8738106411 0.1 2 0.0676607 Success
-0.8929853615 0.1 2 0.0688389 Success
-0.8945430623 0.1 2 0.0687674 Success
-0.9125478928 0.1 2 0.0692184 Success
-0.9288483635 0.1 2 0.0688602 Success
-0.9441451113 0.01 3 0.00694673 Success
-0.9500556590 1 0 0.178019 Success
-0.9509685071 0.1 2 0.0697521 Success
-0.9570209647 0.01 3 0.0068001 Success
-0.9796873338 1 0 0.198926 Success
-0.9835333102 1 0 0.201638 Success
-0.9959363043 0.01 3 0.00703969 Success
-1.0283989233 0.1 2 0.069901 Success
-1.0356725962 0.1 2 0.069939 Success
-1.0361592930 1 0 0.238737 Success
-1.0415030940 0.1 2 0.0694569 Success
-1.0542435377 0.1 2 0.0694457 Success
-1.0723447678 1 0 0.228795 Success
-1.0774902455 0.01 3 0.00689831 Success
-1.0788956610 0.01 3 0.00703412 Success
-1.0930933467 1 0 0.214168 Success
-1.1092920669 0.1 2 0.0693621 Success
-1.1312354448 0.01 3 0.0069149 Success
-1.1418939367 0.01 3 0.00705696 Success
-1.1533051984 1 0 0.171692 Success
-1.1947231752 0.1 2 0.0686564 Success
-1.1971138329 1 0 0.140762 Success
-1.1985211090 0.1 2 0.0687203 Success
-1.2233537344 1 0 0.122228 Success
-1.2315055390 0.1 2 0.067838 Success
-1.2338453686 0.1 2 0.0679866 Success
-1.2611610850 1 0 0.0955136 Success
-1.2698128846 0.1 2 0.0682949 Success
-1.2738077369 1 0 0.0865757 Success
-1.3027836435 1 0 0.0660942 Success
-1.3107492676 0.01 3 0.0069831 Success
-1.3119455465 1 0 0.0596173 Success
-1.3182905071 1 0 0.0551317 Success
-1.3277361913 0.1 0 0.0484537 Success
-1.3513745812 1 0 0.0317405 Success
-1.3526848035 0.1 0 0.0308141 Success
-1.3562216719 0.01 3 0.00696673 Success
-1.3654451802 0.1 0 0.0217916 Success
-1.3764742633 0.01 3 0.00706632 Success
# error - missing: eps_diff_val, result | angle=-1.3862210954 target_eps=0.01 final_f=3 eps_diff_val=None result=None
-1.3874805246 0.01 3 0.00704684 Success
-1.4268073041 1 0 0.0215976 Success
-1.4392216434 1 0 0.0303755 Success
-1.4576794676 0.01 3 0.00676911 Success
-1.4621302332 0.1 0 0.0465728 Success
-1.4692954599 0.01 3 0.00704719 Success
-1.4733982038 1 0 0.0545392 Success
-1.4813063654 0.1 2 0.0685619 Success
-1.4968517925 0.1 2 0.0683155 Success
-1.4997171205 1 0 0.0731447 Success
-1.5073489310 0.01 2 0.0065125 Success
-1.5124031515 0.01 2 0.0055466 Success
-1.5360798591 1 0 0.098845 Success
-1.5375429214 1 0 0.0998789 Success
-1.5516732454 1 0 0.109864 Success
0.0143236457 0.1 0 0.0101283 Success
0.0169033182 1 0 0.0119524 Success
0.0209642221 1 0 0.0148239 Success
0.0498498777 1 0 0.0352483 Success
0.0610189084 0.1 0 0.0431452 Success
0.0672503970 1 0 0.047551 Success
0.0673591982 0.1 0 0.0476279 Success
0.0706451161 0.1 0 0.049951 Success
0.1165760218 0.01 2 0.00534043 Success
0.1202301586 0.1 2 0.0673501 Success
0.1211962507 1 0 0.0856856 Success
0.1285528167 1 0 0.0908849 Success
0.1408941339 1 0 0.0996066 Success
0.1504994934 0.01 3 0.00701302 Success
0.1715905222 1 0 0.121296 Success
0.1860542658 1 0 0.131513 Success
0.1941007783 0.1 2 0.0688797 Success
0.2162956678 0.1 2 0.0693999 Success
0.2406075064 0.01 3 0.00689556 Success
0.2550405261 0.1 2 0.0689748 Success
0.2662054446 1 0 0.188097 Success
0.2679712634 1 0 0.189343 Success
0.2913247207 0.01 3 0.00688171 Success
0.2942658333 0.01 3 0.0069099 Success
0.2993708986 0.1 2 0.0702711 Success
0.3046816827 0.01 3 0.00683885 Success
0.3139888514 0.1 2 0.0678827 Success
0.3162436936 0.01 3 0.00692646 Success
0.3238753011 0.01 3 0.00703119 Success
0.3424599204 1 0 0.24186 Success
0.3444692541 0.1 2 0.0657102 Success
0.3460064399 0.01 2 0.00619572 Success
0.3713042686 0.01 3 0.00681655 Success
0.3901401909 1 0 0.217568 Success
0.4007208687 0.1 2 0.069988 Success
0.4188091308 1 0 0.19735 Success
0.4203216872 0.01 3 0.00686455 Success
0.4430353767 1 0 0.180258 Success
0.4552477908 0.01 3 0.00691685 Success
0.4686215585 0.1 2 0.0689512 Success
0.4754362031 0.01 3 0.00697982 Success
0.4756370120 0.01 3 0.00696956 Success
0.4882762145 1 0 0.148322 Success
0.4941353832 1 0 0.144185 Success
0.5105606318 1 0 0.132584 Success
0.5168840724 1 0 0.128118 Success
0.5374470459 0.01 3 0.00686991 Success
0.5379752933 0.1 2 0.068168 Success
0.5537757762 1 0 0.102053 Success
0.5741055613 0.01 2 0.00442347 Success
0.5768438816 1 0 0.0857503 Success
0.5851653769 0.1 2 0.0682542 Success
0.5857343954 1 0 0.0794664 Success
0.5957592343 0.1 2 0.0683034 Success
0.5965696220 1 0 0.0718075 Success
0.6031162650 0.1 2 0.068145 Success
0.6101321775 0.01 3 0.00700718 Success
0.6111339188 0.01 3 0.00703212 Success
0.6322995164 1 0 0.0465483 Success
0.6362042598 0.1 0 0.0437876 Success
0.6649768810 1 0 0.0234437 Success
