# angle target_eps D_gates eps_diff_val result
-0.0208845845 0.01 3 0.00446933 Success
-0.0253157026 0.01 3 0.00345053 Success
-0.0303790647 0.001 8 0.000124861 Success
-0.0348399291 0.01 4 0.00458307 Success
-0.0425152927 0.1 0 0.0300623 Success
-0.0429699420 0.001 8 0.000154269 Success
-0.0577791232 0.001 8 7.37569e-05 Success
-0.0647997987 1 0 0.0458184 Success
-0.0731737400 1 0 0.0517388 Success
-0.0790708133 0.01 4 0.00323323 Success
-0.0858275989 0.1 0 0.0606846 Success
-0.0914474228 0.001 8 0.000226629 Success
-0.0936401578 1 0 0.0662075 Success
-0.1057007521 0.1 0 0.074733 Success
-0.1256311655 1 0 0.08882 Success
-0.1413467722 0.001 7 0.000240508 Success
-0.1469790609 0.1 1 0.0983869 Success
-0.1516982891 0.001 8 0.000198838 Success
-0.1534898992 1 0 0.108507 Success
-0.1648956439 0.1 4 0.00200659 Success
-0.1688847845 1 0 0.119384 Success
-0.1698203155 0.001 8 8.52407e-05 Success
-0.1797267966 0.001 8 2.01347e-05 Success
-0.1961148022 0.001 8 0.000181353 Success
-0.1979019153 0.001 8 0.000103489 Success
-0.1981424161 0.001 8 0.000181861 Success
-0.2066570975 0.001 8 0.000120431 Success
-0.2153124369 0.01 3 0.00303291 Success
-0.2183757823 0.001 8 0.00015095 Success
-0.2204454229 0.1 4 0.00168792 Success
-0.2321455133 0.001 8 0.000141732 Success
-0.2357034822 0.01 4 0.00170281 Success
-0.2440391799 0.001 8 0.000132027 Success
-0.2580814307 0.001 7 0.000173455 Success
-0.2889785999 1 0 0.204161 Success
-0.2988588846 1 0 0.211129 Success
-0.2992745486 0.1 4 0.00359708 Success
-0.3093804672 0.01 4 0.00179829 Success
-0.3177603838 0.001 8 0.000104706 Success
-0.3185830945 0.01 4 0.00277999 Success
-0.3280442627 1 0 0.231702 Success
-0.3394016850 0.001 8 0.000232865 Success
-0.3426555702 0.01 4 0.00405004 Success
-0.3503851627 0.01 4 0.00616307 Success
-0.3601587604 0.1 4 0.00619843 Success
-0.3774758469 1 0 0.26652 Success
-0.3867389498 0.001 8 0.000125441 Success
# error - missing: D_gates, eps_diff_val, result | angle=-0.3958460786 target_eps=0.001 D_gates=None eps_diff_val=None result=None
-0.3970288837 0.001 8 0.000168838 Success
-0.3986518311 0.01 4 0.00380526 Success
# error - missing: D_gates, eps_diff_val, result | angle=-0.4049624033 target_eps=0.001 D_gates=None eps_diff_val=None result=None
-0.4057025945 0.001 8 0.000200415 Success
-0.4222793435 1 0 0.298042 Success
-0.4286242825 0.001 8 0.000148243 Success
-0.4463526663 0.001 8 8.70703e-05 Success
-0.4554483894 0.01 4 0.00363659 Success
-0.4607356058 1 0 0.325069 Success
-0.4698133175 0.1 4 0.000539864 Success
-0.5150341239 0.01 4 0.0032903 Success
-0.5278721941 1 0 0.37218 Success
-0.5333380137 1 0 0.37601 Success
-0.5357692819 0.01 4 0.00347141 Success
-0.5479386823 0.1 4 0.00359336 Success
-0.5928027327 0.001 7 0.000173211 Success
-0.5970278435 0.001 8 0.000174541 Success
-0.6076284500 1 0 0.428008 Success
-0.6128890697 0.001 8 0.000173831 Success
-0.6160224450 0.1 1 0.0580559 Success
-0.6311351450 0.1 1 0.0473715 Success
-0.6348013245 0.1 1 0.0447795 Success
-0.6368227570 0.1 1 0.0433503 Success
-0.6416378165 0.1 0 0.0399459 Success
-0.6430092459 0.01 4 0.000542897 Success
-0.6447935766 0.01 4 0.00128464 Success
-0.6524523631 0.01 2 0.00615445 Success
