# angle target_eps final_f eps_diff_val result
-0.2627609172 1 0 0.017236 Success
-0.3620837989 0.1 1 0.00121623 Success
-0.6815748986 0.1 0 6.85315e-05 Success
-0.8867893873 1 0 0.00889133 Success
-1.1175303519 1 0 0.0193916 Success
-1.3068975918 1 0 0.00199623 Success
0.0821423948 0.01 2 0.00010939 Success
0.1716221383 0.01 2 0.000101678 Success
0.3147844156 1 0 0.0247212 Success
0.5838408922 0.01 1 7.46397e-05 Success
0.7862126370 0.1 1 0.00109121 Success
0.8946003187 0.1 2 0.00133982 Success
1.1559449429 0.01 2 0.000109679 Success
1.2731568572 0.01 2 8.16475e-05 Success
1.3089685476 0.1 1 0.00110542 Success
